source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
1357;106;16;4321;6399;56;9;3666;6399;56
4441;282;0;237;960;10;0;129;960;10
2363;2726;8;1596;3569;31;0;1413;3569;31
9940;1376;21;8795;7121;66;16;4597;7121;66
5355;8159;16;7904;8838;85;16;6704;8838;85
3219;6862;8;1964;3425;33;0;1578;3425;33
4828;6071;20;7529;9051;81;16;6634;9051;81
9982;9933;9;656;2075;18;0;425;2075;18
9565;5955;14;5424;7038;62;18;4683;7038;62
2719;8433;8;2701;3818;38;8;1308;3818;38
7270;2640;9;2546;3178;27;7;1422;3178;27
3634;4563;29;7922;9627;89;20;6728;9627;89
8100;9571;0;884;1785;19;8;493;1785;19
1416;9129;12;7108;6469;59;12;4317;6469;59
7505;1393;8;2475;3535;34;8;1337;3535;34
2299;3955;8;6766;7839;72;17;4674;7839;72
8097;3608;8;2933;4157;38;8;2019;4157;38
6652;629;16;9998;10526;97;18;6892;10526;97
2168;376;0;814;1939;22;8;413;1939;22
2568;7788;16;8859;7734;69;16;6470;7734;69
8234;8770;11;5463;4513;47;16;2904;4513;47
649;9407;25;9481;9406;86;29;6967;9406;86
4875;9707;11;5011;6370;54;17;4272;6370;54
57;5652;11;6416;4867;47;13;2428;4867;47
8148;1180;8;5090;4569;38;12;2931;4569;38
465;2267;20;6219;8104;73;16;3957;8104;73
4055;3978;13;5335;4739;41;11;3138;4739;41
5535;3451;8;2417;3462;37;8;1650;3462;37
5018;9661;16;6712;5634;55;10;4305;5634;55
9414;4183;16;7135;6183;60;9;3018;6183;60
239;3199;8;1670;2438;20;0;809;2438;20
2255;6205;0;122;770;8;5;86;770;8
2356;7811;1;1789;3858;40;8;1607;3858;40
2574;1547;12;8647;9363;78;20;6774;9363;78
8038;6191;8;931;2424;20;0;685;2424;20
6623;7294;12;3453;5714;56;20;3044;5714;56
4433;359;8;999;1907;20;1;554;1907;20
5183;7048;8;292;1089;8;2;165;1089;8
8610;3895;7;989;1922;17;4;514;1922;17
6391;5645;18;3351;3781;34;10;2120;3781;34
221;4685;16;5072;6627;61;8;3270;6627;61
147;5915;8;2700;4064;38;8;1983;4064;38
2746;2417;0;732;1961;23;8;596;1961;23
6481;4867;16;7544;7301;73;16;6017;7301;73
6410;9250;16;7702;6268;55;8;4557;6268;55
6421;2744;0;3146;4495;40;11;2698;4495;40
2776;6863;9;610;1504;15;0;350;1504;15
5834;7683;0;1036;1859;19;9;489;1859;19
1211;4142;16;7623;6417;55;24;4906;6417;55
7058;6848;8;3539;5500;57;8;2955;5500;57
4584;3820;17;3919;3789;34;3;1626;3789;34
318;7401;15;7645;7259;74;27;5398;7259;74
5732;306;17;3104;5129;49;9;2707;5129;49
889;8637;26;6563;5270;42;8;3067;5270;42
7686;4176;18;4962;5307;46;14;4120;5307;46
8142;5821;12;3872;5212;50;16;2858;5212;50
8763;8841;0;248;1159;12;3;177;1159;12
187;8547;0;93;587;4;0;47;587;4
1156;6586;13;5695;7478;65;16;5061;7478;65
8717;9855;11;1528;2323;21;0;749;2323;21
9850;2568;8;552;1369;16;0;272;1369;16
4858;5903;8;701;1555;16;0;343;1555;16
4209;7941;25;7949;8680;81;28;4301;8680;81
5998;9850;23;8058;7202;58;31;5406;7202;58
9690;4959;8;3121;3536;30;8;1426;3536;30
7245;3097;17;6016;4711;49;8;2632;4711;49
2002;9701;19;5390;7413;64;9;4791;7413;64
5128;6754;20;8335;8737;74;16;4622;8737;74
3608;7639;8;1923;2615;24;0;947;2615;24
7530;2979;17;5812;7056;70;12;5038;7056;70
9772;2009;29;7433;5930;50;20;4143;5930;50
866;6568;12;1111;1979;17;0;561;1979;17
4035;8899;29;9755;9717;100;24;6613;9717;100
3723;9769;10;5048;5544;49;16;4131;5544;49
8919;5832;0;2238;2834;26;10;1115;2834;26
8870;1234;13;9285;8500;83;21;6564;8500;83
2171;6513;20;9734;8382;72;16;5070;8382;72
6409;9744;12;7531;7092;68;20;5174;7092;68
5116;9654;2;1466;2422;22;0;882;2422;22
4769;5525;16;4004;3920;39;17;1516;3920;39
643;5048;0;1218;2429;24;8;802;2429;24
1363;6489;27;5554;7455;68;28;3700;7455;68
424;9614;8;2143;3466;35;1;1625;3466;35
2865;253;8;3028;3299;28;8;1468;3299;28
2064;5177;17;7326;5780;47;16;4152;5780;47
5032;4092;9;7926;8236;74;17;5668;8236;74
8374;8806;8;2868;5429;52;8;2572;5429;52
2821;177;17;6982;5321;45;8;2313;5321;45
1784;4816;19;9787;10170;99;17;6296;10170;99
3960;7423;8;7346;5859;55;17;4126;5859;55
9736;5040;19;8126;6557;58;16;5368;6557;58
8768;1329;8;7075;6766;63;16;5248;6766;63
9123;5410;16;5309;6477;60;8;4088;6477;60
8998;7663;16;4411;5755;56;13;3653;5755;56
6591;3813;9;3533;3612;33;0;1478;3612;33
182;5865;20;7866;7103;64;12;6126;7103;64
9325;8350;20;4872;5183;52;9;2864;5183;52
8088;67;19;8502;9609;89;16;5234;9609;89
1038;2681;17;8119;9582;79;16;5590;9582;79
6637;3022;17;7741;9015;84;16;6529;9015;84
369;2414;16;8678;8861;86;17;6325;8861;86
7733;6798;8;1186;2135;19;0;698;2135;19
4890;908;16;5932;7216;63;16;4584;7216;63
1565;877;17;6713;5946;59;13;3855;5946;59
8575;1781;17;5783;7615;70;12;5205;7615;70
4885;3259;16;5558;7152;70;12;4813;7152;70
4124;7669;20;7877;7640;65;12;5402;7640;65
5648;3232;20;9177;9658;86;16;6988;9658;86
3126;927;16;5774;6296;54;8;3579;6296;54
1893;3792;21;8139;8565;67;16;5894;8565;67
764;8070;0;2410;4350;38;8;2032;4350;38
8786;3434;17;8255;7236;66;20;5057;7236;66
458;3222;8;6514;7647;72;21;4733;7647;72
6656;8509;20;8687;9525;78;37;6802;9525;78
8631;1677;8;2297;2857;22;8;1133;2857;22
5633;712;0;1214;2106;21;8;672;2106;21
7647;8809;11;9483;9090;87;36;6993;9090;87
3782;3500;8;2505;3051;26;9;1082;3051;27
1051;5566;21;6474;6222;57;9;3832;6222;57
2525;7407;16;6321;8602;80;17;4913;8602;80
7131;4916;0;1214;2711;27;8;932;2711;27
2584;8704;8;2465;2956;23;0;927;2956;23
1669;8971;8;2305;2940;23;0;1243;2940;25
6025;2;8;3203;3535;32;8;1792;3535;32
7319;5212;8;3743;6453;62;16;3343;6453;62
2265;3128;8;4349;5229;47;8;3079;5229;47
2521;622;16;8362;9806;90;16;5922;9806;90
5752;4267;18;7573;8896;80;17;6460;8896;80
6366;6562;16;5174;4498;42;8;2858;4498;42
7534;1355;0;1484;2315;25;9;757;2315;25
1721;6299;17;9108;9421;80;17;6719;9421;79
8256;9599;17;8407;8004;66;16;5630;8004;66
