source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path lengthBidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
5998;9850;19;8058;7202;58;18;5407;7202;58
9690;4959;10;3121;3536;30;5;1427;3536;30
7245;3097;16;6016;4711;49;10;2633;4711;49
2002;9701;13;5390;7413;64;15;4792;7413;64
5128;6754;19;8335;8737;74;17;4623;8737;74
3608;7639;5;1923;2615;24;3;948;2615;24
7530;2979;15;5812;7056;70;19;5039;7056;70
9772;2009;20;7433;5930;50;15;4144;5930;50
866;6568;4;1111;1979;17;4;562;1979;17
4035;8899;22;9755;9717;100;21;6614;9717;100
3723;9769;15;5048;5544;49;13;4132;5544;49
8919;5832;8;2238;2834;26;4;1116;2834;26
8870;1234;20;9285;8500;83;19;6565;8500;83
2171;6513;20;9734;8382;72;16;5071;8382;72
6409;9744;18;7531;7092;68;17;5175;7092;68
5116;9654;5;1466;2422;22;3;883;2422;22
4769;5525;11;4004;3920;39;6;1517;3920;39
643;5048;3;1218;2429;24;3;803;2429;24
1363;6489;16;5554;7455;68;22;3701;7455;68
424;9614;8;2143;3466;35;7;1626;3466;35
2865;253;8;3028;3299;28;6;1469;3299;28
2064;5177;19;7326;5780;47;13;4153;5780;47
5032;4092;18;7926;8236;74;18;5669;8236;74
8374;8806;8;2868;5429;52;8;2573;5429;52
2821;177;17;6982;5321;45;9;2314;5321;45
1784;4816;18;9787;10170;99;19;6297;10170;99
3960;7423;17;7346;5859;55;13;4127;5859;55
9736;5040;18;8126;6557;58;19;5369;6557;58
8768;1329;19;7075;6766;63;17;5249;6766;63
9123;5410;14;5309;6477;60;14;4089;6477;60
8998;7663;11;4411;5755;56;12;3654;5755;56
6591;3813;9;3533;3612;33;6;1479;3612;33
182;5865;18;7866;7103;64;20;6127;7103;64
9325;8350;13;4872;5183;52;9;2865;5183;52
8088;67;19;8502;9609;89;15;5235;9609;89
1038;2681;19;8119;9582;79;17;5591;9582;79
6637;3022;20;7741;9015;84;22;6530;9015;84
369;2414;18;8678;8861;86;21;6326;8861;86
7733;6798;3;1186;2135;19;4;699;2135;19
4890;908;14;5932;7216;63;14;4585;7216;63
1565;877;17;6713;5946;59;14;3856;5946;59
8575;1781;16;5783;7615;70;16;5206;7615;70
4885;3259;16;5558;7152;70;14;4814;7152;70
4124;7669;18;7877;7640;65;18;5403;7640;65
5648;3232;22;9177;9658;86;21;6989;9658;86
3126;927;16;5774;6296;54;11;3580;6296;54
1893;3792;18;8139;8565;67;19;5895;8565;67
764;8070;6;2410;4350;38;7;2033;4350;38
8786;3434;18;8255;7236;66;16;5058;7236;66
458;3222;16;6514;7647;72;15;4734;7647;72
6656;8509;19;8687;9525;78;21;6803;9525;78
8631;1677;7;2297;2857;22;4;1134;2857;22
5633;712;5;1214;2106;21;3;673;2106;21
7647;8809;23;9483;9090;87;22;6994;9090;87
3782;3500;8;2505;3051;26;5;1083;3051;27
1051;5566;15;6474;6222;57;12;3833;6222;57
2525;7407;17;6321;8602;80;16;4914;8602;80
7131;4916;3;1214;2711;27;3;933;2711;27
2584;8704;8;2465;2956;23;3;928;2956;23
1669;8971;9;2305;2940;23;5;1244;2940;25
6025;2;9;3203;3535;32;8;1793;3535;32
7319;5212;10;3743;6453;62;11;3344;6453;62
2265;3128;13;4349;5229;47;11;3080;5229;47
2521;622;18;8362;9806;90;21;5923;9806;90
5752;4267;19;7573;8896;80;20;6461;8896;80
6366;6562;15;5174;4498;42;13;2859;4498;42
7534;1355;6;1484;2315;25;2;758;2315;25
1721;6299;20;9108;9421;80;21;6720;9421;79
8256;9599;20;8407;8004;66;17;5631;8004;66
77;6749;7;2235;2901;29;3;915;2901;29
6206;3994;7;2270;3524;37;5;1430;3524;37
6428;2465;13;4525;3999;39;7;2033;3999;39
7738;9149;10;2932;3356;31;6;1541;3356;31
5281;930;9;3365;4434;37;9;2488;4434;37
8019;3779;19;7348;8305;77;19;5777;8305;77
25;2839;10;3426;3499;38;5;1667;3499;38
8143;236;2;564;2039;21;1;393;2039;21
3259;2717;11;3825;4362;45;12;2780;4362;45
3271;2890;14;5117;6024;54;12;3608;6024;54
825;5825;18;7948;8640;84;21;6717;8640;84
3228;8050;9;2839;3191;34;4;1111;3191;34
6782;263;13;4866;5142;52;11;3004;5142;52
199;1231;19;9577;8480;69;19;5933;8480;69
6807;7353;18;9179;9781;80;23;7262;9781;80
30;2889;20;8464;8259;70;21;6442;8259;70
895;5055;16;6092;4932;45;13;3464;4932;45
8995;9308;10;3447;3987;36;8;2314;3987;36
7155;2600;14;5531;6014;58;15;4280;6014;58
342;201;14;4856;5125;51;12;3694;5125;51
1268;5699;19;7019;5868;55;11;3391;5868;55
2427;838;12;3280;4259;42;7;2258;4259;42
6234;7884;19;8112;8741;81;20;6512;8741;81
7142;4274;12;3133;3345;34;5;1359;3345;34
6789;9958;24;9293;8340;74;21;6533;8340;74
195;6937;7;2243;3845;36;5;1532;3845;36
1359;9969;13;4532;4160;38;5;1870;4160;38
6306;9856;20;8779;9162;78;20;6412;9162;78
6878;3561;15;6095;8066;76;15;4355;8066;76
8767;398;18;7381;7313;68;16;4802;7313;68
342;123;19;9028;8033;75;21;6054;8033;75
1744;5992;19;9421;9310;88;22;5441;9310;88
298;1204;26;9985;9236;85;19;5874;9236;85
4983;3031;6;2150;3557;37;5;1630;3557;37
642;6343;18;6677;7039;64;20;5539;7039;64
55;5255;19;7389;8643;57;14;4212;8643;57
5369;2443;17;6112;6571;58;17;5178;6571;58
5124;2271;17;7642;8870;69;18;6067;8870;69
3854;1743;7;2487;3389;29;6;1583;3389;29
8803;7592;17;6639;5035;48;11;3267;5035;47
8378;1131;21;9593;10930;103;22;7410;10930;103
2576;2235;18;7678;7942;75;19;6167;7942;75
