n°	source	destination	distance	nb itérations simple	nb itérations bidir	temps simple (ms)	temps bidir (ms)
202	9881	2035	7640	7721	5892	55.213	47.5631
203	1357	106	6399	4321	3666	32.5414	29.8738
204	4441	282	960	236	129	1.6274	1.4881
205	2363	2726	3569	1596	1413	13.6066	11.8031
206	9940	1376	7121	8793	4597	61.7123	37.8836
207	5355	8159	8838	7905	6704	56.2677	55.9035
208	3219	6862	3425	1965	1578	15.1986	13.3006
209	4828	6071	9051	7530	6634	54.057	51.044
210	9982	9933	2075	656	427	5.7064	5.2244
211	9565	5955	7038	5424	4683	39.4889	37.4395
212	2719	8433	3818	2701	1308	23.2907	11.0408
213	7270	2640	3178	2545	1422	19.9004	12.0725
214	3634	4563	9627	7922	6729	61.2546	62.7924
215	8100	9571	1785	885	491	7.0515	4.4853
216	1416	9129	6469	7109	4315	54.0062	34.3313
217	7505	1393	3535	2475	1337	19.0184	12.6555
218	2299	3955	7839	6766	4674	49.1806	37.898
219	8097	3608	4157	2933	2019	22.171	16.7052
220	6652	629	10526	9998	6892	70.6796	53.2993
221	2168	376	1939	814	413	5.8683	3.8941
222	2568	7788	7734	8860	6470	62.7144	52.8429
223	8234	8770	4513	5464	2904	39.8165	23.1757
224	649	9407	9406	9481	6967	67.0952	57.5324
225	4875	9707	6370	5011	4274	36.6706	33.1678
226	57	5652	4867	6416	2428	48.0143	22.7132
227	8148	1180	4569	5088	2932	39.9386	23.5709
228	465	2267	8104	6219	3957	48.5736	34.7208
229	4055	3978	4739	5333	3138	41.3225	25.6526
230	5535	3451	3462	2417	1646	19.7701	13.4237
231	5018	9661	5634	6713	4303	48.9147	35.5437
232	9414	4183	6183	7135	3018	51.1404	24.5632
233	239	3199	2438	1670	809	14.4582	6.7307
234	2255	6205	770	121	86	0.9152	1.0492
235	2356	7811	3858	1789	1607	13.7355	13.328
236	2574	1547	9363	8648	6772	62.6903	52.7434
237	8038	6191	2424	930	685	7.0883	6.1029
238	6623	7294	5714	3453	3044	26.7716	24.9041
239	4433	359	1907	998	555	7.7148	5.4146
240	5183	7048	1089	292	165	2.2465	1.6996
241	8610	3895	1922	989	514	7.8558	4.7133
242	6391	5645	3781	3351	2120	25.2194	18.9817
243	221	4685	6627	5073	3270	38.4365	25.7345
244	147	5915	4064	2700	1981	21.8775	15.7725
245	2746	2417	1961	732	597	5.8078	5.0612
246	6481	4867	7301	7545	6017	53.3363	48.683
247	6410	9250	6268	7702	4559	57.905	37.5223
248	6421	2744	4495	3146	2698	23.7959	22.1921
249	2776	6863	1504	610	346	4.6133	4.2723
250	5834	7683	1859	1038	489	8.2356	4.2544
251	1211	4142	6417	7623	4904	59.8217	40.8467
252	7058	6848	5500	3539	2955	26.9456	23.4849
253	4584	3820	3789	3920	1624	30.6769	13.2777
254	318	7401	7259	7646	5396	58.4178	43.4863
255	5732	306	5129	3104	2706	24.4082	22.3759
256	889	8637	5270	6563	3063	49.7194	24.5153
257	7686	4176	5307	4962	4120	36.5317	34.6262
258	8142	5821	5212	3872	2852	28.6559	23.1193
259	8763	8841	1159	248	177	1.9266	1.9534
260	187	8547	587	93	47	0.8723	0.7316
261	1156	6586	7478	5696	5063	43.0005	39.4423
262	8717	9855	2323	1528	749	11.9562	6.3247
263	9850	2568	1369	551	272	4.3802	4.313
264	4858	5903	1555	701	343	5.3976	3.1447
265	4209	7941	8680	7950	4301	56.8059	35.65
266	5998	9850	7202	8058	5406	56.4118	44.4318
267	9690	4959	3536	3124	1426	22.9995	15.1073
268	7245	3097	4711	6017	2630	46.9587	24.7252
269	2002	9701	7413	5390	4791	40.3386	41.3162
270	5128	6754	8737	8335	4622	60.0507	38.6164
271	3608	7639	2615	1923	947	15.6199	8.1484
272	7530	2979	7056	5812	5038	42.041	41.7366
273	9772	2009	5930	7433	4143	52.8144	34.4167
274	866	6568	1979	1111	561	8.7038	4.8199
275	4035	8899	9717	9755	6613	69.5125	51.501
276	3723	9769	5544	5048	4131	38.6632	32.5695
277	8919	5832	2834	2237	1115	17.7534	9.6772
278	8870	1234	8500	9283	6564	66.1917	52.1641
279	2171	6513	8382	9734	5071	67.1011	42.0537
280	6409	9744	7092	7531	5174	53.8907	46.6879
281	5116	9654	2422	1466	882	11.1848	8.0972
282	4769	5525	3920	4003	1516	30.7689	14.5079
283	643	5048	2429	1218	802	9.2892	7.1042
284	1363	6489	7455	5554	3700	44.1611	29.7878
285	424	9614	3466	2143	1625	20.4522	14.2303
286	2865	253	3299	3026	1466	23.678	12.3277
287	2064	5177	5780	7325	4152	53.7742	33.4599
288	5032	4092	8236	7926	5668	57.0864	43.7422
289	8374	8806	5429	2869	2574	21.7097	22.2346
290	2821	177	5321	6980	2310	50.0753	18.7316
291	1784	4816	10170	9787	6296	69.0861	50.0851
292	3960	7423	5859	7347	4126	54.525	36.6183
293	9736	5040	6557	8126	5368	58.0715	43.2272
