source;target;path length;path weight;Dijkstra time;Dijkstra iteration;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;
9850;2568;1;0;;2;4712;2;3502
4858;5903;1;0;;3;4712;1;3502
4209;7941;1;0;;22;4712;15;3502
5998;9850;1;0;;21;4712;20;3502
9690;4959;1;0;;11;4712;6;3502
7245;3097;1;0;;18;4712;11;3502
2002;9701;1;0;;16;4712;19;3502
5128;6754;1;0;;20;4712;18;3502
3608;7639;1;0;;7;4712;4;3502
7530;2979;1;0;;19;4712;18;3502
9772;2009;1;0;;20;4712;17;3502
866;6568;1;0;;3;4712;4;3502
4035;8899;1;0;;22;4712;24;3502
3723;9769;1;0;;17;4712;15;3502
8919;5832;1;0;;9;4712;5;3502
8870;1234;1;0;;22;4712;22;3502
2171;6513;1;0;;23;4712;23;3502
6409;9744;1;0;;21;4712;20;3502
5116;9654;1;0;;4;4712;5;3502
4769;5525;1;0;;12;4712;6;3502
643;5048;1;0;;5;4712;4;3502
1363;6489;1;0;;16;4712;14;3502
424;9614;1;0;;9;4712;6;3502
2865;253;1;0;;11;4712;6;3502
2064;5177;1;0;;19;4712;17;3502
5032;4092;1;0;;18;4712;20;3502
8374;8806;1;0;;10;4712;12;3502
2821;177;1;0;;21;4712;9;3502
1784;4816;1;0;;23;4712;22;3502
3960;7423;1;0;;20;4712;16;3502
9736;5040;1;0;;22;4712;20;3502
8768;1329;1;0;;20;4712;20;3502
9123;5410;1;0;;17;4712;17;3502
8998;7663;1;0;;13;4712;16;3502
6591;3813;1;0;;13;4712;7;3502
182;5865;1;0;;19;4712;22;3502
9325;8350;1;0;;15;4712;10;3502
8088;67;1;0;;20;4712;18;3502
1038;2681;1;0;;21;4712;18;3502
6637;3022;1;0;;20;4712;22;3502
369;2414;1;0;;21;4712;25;3502
7733;6798;1;0;;6;4712;2;3502
4890;908;1;0;;17;4712;16;3502
1565;877;1;0;;19;4712;15;3502
8575;1781;1;0;;17;4712;19;3502
4885;3259;1;0;;16;4712;17;3502
4124;7669;1;0;;19;4712;19;3502
5648;3232;1;0;;21;4712;25;3502
3126;927;1;0;;20;4712;14;3502
1893;3792;1;0;;21;4712;22;3502
764;8070;1;0;;8;4712;9;3502
8786;3434;1;0;;20;4712;20;3502
458;3222;1;0;;18;4712;17;3502
6656;8509;1;0;;21;4712;24;3502
8631;1677;1;0;;8;4712;6;3502
5633;712;1;0;;3;4712;4;3502
7647;8809;1;0;;21;4712;25;3502
3782;3500;1;0;;9;4712;4;3502
1051;5566;1;0;;18;4712;15;3502
2525;7407;1;0;;18;4712;19;3502
7131;4916;1;0;;4;4712;4;3502
2584;8704;1;0;;10;4712;5;3502
1669;8971;1;0;;9;4712;5;3502
6025;2;1;0;;15;4712;8;3502
7319;5212;1;0;;12;4712;13;3502
2265;3128;1;0;;14;4712;13;3502
2521;622;1;0;;23;4712;25;3502
5752;4267;1;0;;22;4712;29;3502
6366;6562;1;0;;20;4712;13;3502
7534;1355;1;0;;8;4712;5;3502
1721;6299;1;0;;29;4712;31;3502
8256;9599;1;0;;29;4712;29;3502
77;6749;1;0;;11;4712;6;3502
6206;3994;1;0;;8;4712;9;3502
6428;2465;1;0;;19;4712;13;3502
7738;9149;1;0;;15;4712;8;3502
5281;930;1;0;;14;4712;13;3502
8019;3779;1;0;;24;4712;25;3502
25;2839;1;0;;12;4712;9;3502
8143;236;1;0;;1;4712;3;3502
3259;2717;1;0;;13;4712;13;3502
3271;2890;1;0;;17;4712;17;3502
825;5825;1;0;;27;4712;26;3502
3228;8050;1;0;;12;4712;5;3502
6782;263;1;0;;18;4712;12;3502
199;1231;1;0;;25;4712;22;3502
6807;7353;1;0;;23;4712;26;3502
30;2889;1;0;;22;4712;25;3502
895;5055;1;0;;22;4712;14;3502
8995;9308;1;0;;12;4712;10;3502
7155;2600;1;0;;17;4712;18;3502
342;201;1;0;;15;4712;15;3502
1268;5699;1;0;;21;4712;14;3502
2427;838;1;0;;11;4712;9;3502
6234;7884;1;0;;21;4712;24;3502
7142;4274;1;0;;12;4712;6;3502
6789;9958;1;0;;27;4712;23;3502
195;6937;1;0;;9;4712;7;3502
1359;9969;1;0;;15;4712;8;3502
6306;9856;1;0;;22;4712;22;3502
6878;3561;1;0;;18;4712;17;3502
8767;398;1;0;;20;4712;18;3502
342;123;1;0;;22;4712;25;3502
1744;5992;1;0;;23;4712;21;3502
298;1204;1;0;;23;4712;21;3502
4983;3031;1;0;;8;4712;7;3502
642;6343;1;0;;19;4712;20;3502
55;5255;1;0;;19;4712;17;3502
5369;2443;1;0;;18;4712;21;3502
5124;2271;1;0;;19;4712;27;3502
3854;1743;1;0;;9;4712;6;3502
8803;7592;1;0;;18;4712;13;3502
8378;1131;1;0;;22;4712;24;3502
2576;2235;1;0;;20;4712;22;3502
9601;8916;1;0;;6;4712;3;3502
6287;2716;1;0;;19;4712;21;3502
7921;3371;1;0;;21;4712;14;3502
2842;2285;1;0;;24;4712;23;3502
1992;4180;1;0;;21;4712;21;3502
4937;8960;1;0;;6;4712;2;3502
5314;3150;1;0;;8;4712;9;3502
511;2077;1;0;;22;4712;21;3502
2463;7923;1;0;;10;4712;5;3502
4401;9772;1;0;;16;4712;17;3502
5987;3133;1;0;;23;4712;25;3502
2849;320;1;0;;28;4712;16;3502
4167;963;1;0;;9;4712;11;3502
7897;2257;1;0;;22;4712;25;3502
9870;9775;1;0;;20;4712;17;3502
5220;1203;1;0;;2;4712;2;3502
6962;350;1;0;;8;4712;9;3502
3446;8216;1;0;;22;4712;24;3502
2508;1347;1;0;;16;4712;18;3502
9995;1471;1;0;;15;4712;9;3502
1970;6040;1;0;;22;4712;28;3502
7757;3303;1;0;;21;4712;18;3502
7002;2706;1;0;;1;4712;0;3502
6351;1428;1;0;;22;4712;22;3502
3693;975;1;0;;18;4712;15;3502
2806;6412;1;0;;19;4712;22;3502
2183;2255;1;0;;4;4712;4;3502
7064;8159;1;0;;15;4712;10;3502
6971;61;1;0;;14;4712;9;3502
7692;6385;1;0;;2;4712;2;3502
6515;1016;1;0;;16;4712;15;3502
8961;9766;1;0;;22;4712;20;3502
4789;4370;1;0;;20;4712;15;3502
8859;6984;1;0;;5;4712;6;3502
1602;8916;1;0;;1;4712;4;3502
9688;7592;1;0;;18;4712;11;3502
5192;1900;1;0;;5;4712;3;3502
4512;7711;1;0;;17;4712;9;3502
7495;1092;1;0;;3;4712;3;3502
2011;63;1;0;;27;4712;32;3502
1360;4976;1;0;;10;4712;5;3502
3628;5899;1;0;;19;4712;20;3502
9736;9332;1;0;;25;4712;25;3502
75;1199;1;0;;23;4712;44;3502
1677;6975;1;0;;12;4712;11;3502
1489;3421;1;0;;14;4712;9;3502
8256;664;1;0;;24;4712;25;3502
2076;3862;1;0;;11;4712;12;3502
3200;5876;1;0;;21;4712;16;3502
2082;738;1;0;;5;4712;4;3502
5080;9985;1;0;;8;4712;4;3502
6115;524;1;0;;20;4712;15;3502
1262;1331;1;0;;8;4712;5;3502
9111;6412;1;0;;16;4712;15;3502
5308;2520;1;0;;18;4712;11;3502
5110;866;1;0;;16;4712;18;3502
8539;6393;1;0;;24;4712;22;3502
4166;8604;1;0;;23;4712;26;3502
7163;2863;1;0;;13;4712;15;3502
6415;1540;1;0;;8;4712;5;3502
8928;5936;1;0;;2;4712;3;3502
4363;7785;1;0;;12;4712;8;3502
9927;6661;1;0;;19;4712;23;3502
4153;5433;1;0;;23;4712;17;3502
7638;6233;1;0;;7;4712;8;3502
1664;8920;1;0;;0;4712;1;3502
6913;2448;1;0;;16;4712;11;3502
1680;1247;1;0;;9;4712;8;3502
1288;1057;1;0;;20;4712;21;3502
4213;8324;1;0;;4;4712;4;3502
2382;6306;1;0;;21;4712;17;3502
7909;8081;1;0;;20;4712;15;3502
7428;7198;1;0;;21;4712;22;3502
8073;4212;1;0;;9;4712;7;3502
9988;2086;1;0;;20;4712;23;3502
5624;2659;1;0;;9;4712;5;3502
1722;8609;1;0;;8;4712;12;3502
4110;9273;1;0;;11;4712;10;3502
3292;3857;1;0;;22;4712;24;3502
6955;7809;1;0;;5;4712;3;3502
3227;1316;1;0;;18;4712;15;3502
8552;5022;1;0;;16;4712;12;3502
1153;4771;1;0;;23;4712;25;3502
213;6821;1;0;;19;4712;13;3502
2410;9819;1;0;;22;4712;22;3502
2254;8696;1;0;;14;4712;10;3502
208;533;1;0;;15;4712;7;3502
796;2384;1;0;;11;4712;12;3502
4766;3380;1;0;;19;4712;21;3502
7511;5750;1;0;;21;4712;15;3502
8486;4731;1;0;;24;4712;27;3502
8649;8990;1;0;;15;4712;9;3502
6910;5240;1;0;;3;4712;1;3502
6174;6528;1;0;;19;4712;21;3502
9076;1953;1;0;;11;4712;11;3502
4232;9508;1;0;;2;4712;1;3502
9427;602;1;0;;12;4712;9;3502
3406;1962;1;0;;16;4712;15;3502
670;5856;1;0;;19;4712;13;3502
1748;915;1;0;;15;4712;16;3502
5385;484;1;0;;23;4712;23;3502
5014;6159;1;0;;8;4712;6;3502
1335;2615;1;0;;5;4712;4;3502
2799;3508;1;0;;16;4712;14;3502
4957;9999;1;0;;14;4712;13;3502
7430;4407;1;0;;13;4712;8;3502
8277;1667;1;0;;21;4712;23;3502
119;3051;1;0;;9;4712;4;3502
4448;6905;1;0;;11;4712;9;3502
